group,evidence,SP,TM,kinase_pfam,lrr_pfam,other_pfam,at_lrr_blast,at_other_blast,at_unspec_blast
LRR+OTHER-RK,t7,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
LRR+OTHER-RK,t8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
LRR+OTHER-RK,t9,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
LRR+OTHER-RP,t10,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
LRR+OTHER-RP,t11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
LRR+OTHER-RP,t12,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
LRR+OTHER-RP,t13,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
LRR+OTHER-RP,t14,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
LRR+OTHER-RP,t15,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
LRR+OTHER-RP,t16,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
LRR+OTHER-RP,t17,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
LRR+OTHER-RP,t18,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
TM-KINASE,PFAM,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TM-PROTEIN,ABSENCE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
